all_credits_amount,real_estate_amount
645806.4997335701,21000
52954.99990059642,15000
288194.9497747748,12000
462353.4995049505,45000
310083.77951768483,21000
111350.29978768578,21000
399471.499625,18000
385213.9996153846,0
362900.49983651226,0
242126.49860465116,0
205931.6996978852,45000
147404.499970783,39000
271795.49987618654,48000
132228.74915254238,24000
544429.4999188092,27000
121099.49995204604,33000
292288.04973614775,0
468154.33963547996,30000
957612.4399347258,15000
147835.4998530852,36000
256272.49992221934,24000
563269.2747090204,45000
84911.99948805461,21000
94317.49960732984,0
266919.9998254799,36000
379977.99999917863,12000
516365.99982768524,36000
597445.29995702,12000
119570.82995868905,0
251869.99992169146,36000
364953.49979879276,0
254920.4999012183,15000
248007.19990757853,30000
246315.24981971155,30000
163252.74989035088,0
613215.9988461538,15000
255598.49979395606,15000
253324.9998003992,39000
241561.99975020817,0
263915.29971617786,0
423754.99997440056,0
473931.3999991786,30000
481906.99978308025,0
428528.9998136646,0
261783.42468717412,0
385648.99985148513,36000
200950.49989169676,0
613562.9998884759,45000
294923.1749669421,48000
499047.47491304344,21000
305303.69999917864,0
456809.91974468075,45000
333331.99976152624,42000
240319.99983766233,27000
254997.174594046,0
1098464.9998992952,0
256049.49988221438,18000
461892.49981435644,18000
576040.099852869,42000
172012.49994104932,30000
88894.89999917863,39000
145538.49999917863,0
337870.7996845426,18000
217089.4998357964,30000
324821.8999020888,0
171205.99992185464,0
98842.2496068152,30000
142175.49834254142,33000
405299.99972170684,36000
748219.9598675496,39000
265439.4990881459,21000
1161852.1998122653,21000
336603.49978902953,0
89891.99999917863,48000
265523.4998960859,0
740289.49992278,48000
286255.99996288505,0
751820.7998672565,0
363598.8985849056,0
241449.49990424514,0
540492.7197404844,33000
113145.99972014925,0
279315.99986437615,0
255812.49981785065,33000
314580.99999917863,15000
864410.7798679578,12000
221603.9897029703,36000
251093.49987124462,18000
254704.49987007363,30000
297460.26973142347,15000
219860.99894366198,48000
763038.999382716,0
694602.4996666666,0
583191.4999695679,27000
304551.69999917864,39000
182032.53892857142,48000
121744.24999917863,0
348473.7898425197,0
116903.83943181818,12000
90693.15994324631,33000
216049.99996060407,21000
373253.7999592889,21000
115228.99999917863,15000
121908.49983507421,0
289527.469068323,36000
403976.99999917863,36000
128131.99986784141,30000
147202.99999917863,0
61892.9997451147,39000
240065.49999917863,0
156804.3199192463,0
515387.49924623116,15000
387265.673943662,48000
573248.5993548387,33000
