name,address,hours,lat,lng,rating,district
Ареал,"Москва, Профсоюзная улица, 102, стр. 1","ежедневно, 09:00–22:00",55.643673,37.526264,4.1,Юго-Западный административный округ
Торговый центр,"Москва, улица Обручева, 16, корп. 1",nan,55.658845,37.514141,4.1,Юго-Западный административный округ
Торговый центр,"Москва, улица Покрышкина, 2, корп. 1","ежедневно, 10:00–21:00",55.663953,37.482268,3.9,Западный административный округ
Семьдесят седьмой,"Москва, Профсоюзная улица, 109","ежедневно, 10:00–21:00",55.633123,37.520997,4.7,Юго-Западный административный округ
Тропарёво,"Москва, улица Тёплый Стан, 27с1","ежедневно, 09:00–21:00",55.6307,37.482146,4.9,Юго-Западный административный округ
Беляево,"Москва, улица Миклухо-Маклая, 18, корп. 2","ежедневно, 10:00–23:00",55.645222,37.518907,4.7,Юго-Западный административный округ
Белка,"Москва, Профсоюзная улица, 102А","ежедневно, 09:00–22:00",55.644217,37.526686,4.1,Юго-Западный административный округ
Торговый центр,"Москва, улица Миклухо-Маклая, 37","ежедневно, круглосуточно",55.645194,37.521312,4.1,Юго-Западный административный округ
Торговый центр Саларьево,"Москва, поселение Мосрентген, улица Адмирала Корнилова, с1",nan,55.626329,37.440034,4.3,
Автомастер,"Москва, Киевское шоссе, 1кА","ежедневно, 09:00–20:00",55.625877,37.439257,4.2,
Коньково Пассаж,"Москва, Профсоюзная улица, 126, корп. 1","ежедневно, 10:00–20:00",55.633305,37.519071,4.0,Юго-Западный административный округ
Мегацентр Италия,"Москва, улица Академика Пилюгина, 10","ежедневно, 09:00–23:00",55.668761,37.540293,4.2,Юго-Западный административный округ
Тип-топ,"Москва, улица Миклухо-Маклая, 40А","ежедневно, 10:00–20:00",55.638408,37.540475,4.3,Юго-Западный административный округ
Премьера,"Москва, проспект Вернадского, 105","ежедневно, 10:00–22:00",55.662942,37.485727,3.8,Западный административный округ
Торговый центр,"Москва, улица Введенского, 16",nan,55.642801,37.540486,4.2,Юго-Западный административный округ
Торговый центр,"Москва, улица Генерала Тюленева, 4Ас3",пн-пт 10:00–21:00,55.625399,37.483956,4.0,Юго-Западный административный округ
Lotte,"Москва, Профсоюзная улица, 65, корп. 1",nan,55.653093,37.537998,4.2,Юго-Западный административный округ
Лабиринт,"Москва, улица Островитянова, 18","ежедневно, 08:00–23:00",55.636349,37.511456,3.9,Юго-Западный административный округ
Торговый центр,"Москва, Солнцевский проспект, 26","ежедневно, 08:00–21:00",55.649838,37.408459,4.0,Западный административный округ
Коньково Пассаж,"Москва, Профсоюзная улица, 126, корп. 2","ежедневно, 10:00–22:00",55.631302,37.517435,4.0,Юго-Западный административный округ
Ochakovskiy Mall,"Москва, Озёрная улица, 35",nan,55.669358,37.447744,3.0,Западный административный округ
Кони-Айленд,"Москва, Профсоюзная улица, 109к2","ежедневно, 10:00–21:00",55.633422,37.520335,3.5,Юго-Западный административный округ
Центр услуг,"Москва, улица 50 лет Октября, 6",nan,55.655326,37.414787,4.5,Западный административный округ
ПМБ,"Москва, поселение Московский, квартал № 70, 1",пн-пт 09:00–18:00,55.627783,37.436391,3.5,
Prime Plaza,"Москва, улица Каховка, 29А","ежедневно, 10:00–22:00",55.656332,37.569378,4.4,Юго-Западный административный округ
Бухарест,"Москва, улица Каховка, 27","ежедневно, 11:00–22:00",55.655571,37.571572,4.8,Юго-Западный административный округ
Азовский,"Москва, Азовская улица, 24к3","ежедневно, 10:00–22:00",55.64766,37.596395,4.4,Юго-Западный административный округ
ТЦ Севастополь,"Москва, Большая Юшуньская улица, 1Ак4","ежедневно, 09:00–21:00",55.651147,37.596082,4.3,Юго-Западный административный округ
Место встречи Ангара,"Москва, Чонгарский бульвар, 7","ежедневно, 10:00–22:00",55.651473,37.612392,4.7,Южный административный округ
Гудзон,"Москва, Каширское шоссе, 14","ежедневно, 10:00–22:00",55.664253,37.627747,4.7,Южный административный округ
Авентура,"Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, 1, корп. 2","ежедневно, 10:00–22:00",55.636895,37.598867,4.4,Южный административный округ
Торговый центр,"Москва, Керченская улица, 1Б",nan,55.654814,37.583329,4.0,Юго-Западный административный округ
Каспий,"Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, к208","ежедневно, 08:00–00:00",55.639068,37.604217,4.3,Южный административный округ
Глобал Сити,"Москва, Кировоградская улица, 14","ежедневно, 10:00–22:00",55.622488,37.60664,4.7,Южный административный округ
Варшавский,"Москва, Варшавское шоссе, 87Б","ежедневно, 10:00–22:00",55.653668,37.620285,4.9,Южный административный округ
Штаер,"Москва, Балаклавский проспект, 5А","ежедневно, 10:00–21:00",55.640608,37.608341,4.3,Южный административный округ
Смолл,"Москва, Черноморский бульвар, 10","ежедневно, 08:00–23:00",55.645767,37.610078,4.3,Южный административный округ
Ритейл Парк,"Москва, Варшавское шоссе, 97","ежедневно, 10:00–22:00",55.633488,37.623933,4.4,Южный административный округ
Родной,"Москва, Нахимовский проспект, 25А",nan,55.66804,37.590147,4.3,Юго-Западный административный округ
