acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
0.432,0.3779999999999999,161093.0,0.505,0.000226,D,0.27,-10.863,Major,0.042,95.254,0.415,Rock
0.178,0.687,242347.0,0.6509999999999999,0.00879,C,0.149,-6.696000000000001,Major,0.0255,119.937,0.514,Rock
0.0964,0.679,-1.0,0.5920000000000001,0.0138,A,0.16,-5.962999999999999,Major,0.0402,113.265,0.55,Rock
0.413,0.595,177925.0,0.81,0.0,G,0.111,-3.665,Major,0.0465,99.947,0.482,Rock
0.000151,0.513,237453.0,0.924,0.0203,A,0.303,-4.574,Major,0.0503,145.01,0.52,Rock
0.00944,0.514,182560.0,0.773,0.00326,C,0.387,-3.754,Major,0.0388,103.943,0.445,Rock
0.00263,0.346,-1.0,0.828,2.97e-05,A#,0.893,-6.5120000000000005,Minor,0.0388,131.297,0.252,Rock
0.0566,0.537,181210.0,0.693,0.0,A,0.146,-5.256,Major,0.0847,176.00400000000002,0.581,Rock
4.2e-06,0.3289999999999999,237347.0,0.954,0.000614,G#,0.051,-7.006,Minor,0.0722,156.899,0.627,Rock
0.0349,0.797,-1.0,0.8959999999999999,0.0,F,0.635,-3.678,Major,0.0512,120.037,0.685,Rock
0.00624,0.6859999999999999,251000.0,0.8220000000000001,2.9100000000000003e-05,B,0.16,-2.984,Major,0.0392,89.991,0.7759999999999999,Rock
0.00166,0.407,165373.0,0.968,0.0,C,0.131,-5.154,Major,0.108,109.727,0.374,Rock
0.00633,0.606,186627.0,0.8,9.04e-06,A,0.506,-4.194,Major,0.0271,130.006,0.691,Rock
0.506,0.7440000000000001,328293.0,0.545,0.0977,C,0.0649,-9.361,Major,0.0297,97.409,0.346,Rock
0.3229999999999999,0.386,206360.0,0.675,3.68e-06,E,0.14,-5.481,Minor,0.0424,189.894,0.429,Rock
0.105,0.49,172080.0,0.889,0.0,F#,0.1669999999999999,-2.942,Major,0.0363,144.086,0.688,Rock
0.0187,0.3379999999999999,241853.0,0.8029999999999999,0.0,G#,0.136,-5.412000000000001,Minor,0.0413,151.994,0.4,Rock
0.0337,0.623,194430.0,0.6809999999999999,0.000111,G,0.0812,-6.0120000000000005,Major,0.103,100.171,0.499,Rock
0.107,0.521,238600.0,0.669,0.0,G#,0.178,-4.691,Major,0.0264,94.057,0.281,Rock
8.65e-05,0.589,267000.0,0.696,3.43e-05,G#,0.0779,-8.109,Major,0.034,129.833,0.938,Rock
0.165,0.5920000000000001,210013.0,0.515,1.21e-05,A,0.109,-7.526,Minor,0.0403,80.509,0.1889999999999999,Rock
0.00106,0.573,259667.0,0.865,0.00469,D,0.1159999999999999,-6.097,Major,0.104,178.115,0.616,Rock
4.68e-06,0.48,244387.0,0.953,0.0667,C#,0.0805,-5.061,Minor,0.0889,95.016,0.268,Rock
0.659,0.405,166467.0,0.721,0.0,C,0.113,-8.232000000000001,Major,0.1,94.677,0.359,Rock
0.00417,0.504,238733.0,0.96,0.569,C,0.0613,-1.464,Major,0.183,96.682,0.774,Rock
0.0711,0.654,206627.0,0.815,2.53e-06,G,0.133,-5.524,Major,0.0377,120.048,0.301,Rock
0.387,0.4529999999999999,198147.0,0.986,0.0,G,0.422,-5.768,Major,0.119,166.59400000000002,0.455,Rock
0.096,0.52,295813.0,0.858,0.588,G#,0.14,-7.914,Major,0.0358,76.76100000000001,0.444,Rock
0.000385,0.295,271280.0,0.584,0.218,A,0.0996,-6.696000000000001,Minor,0.0345,117.2,0.228,Rock
0.391,0.228,252907.0,0.517,0.0,G,0.29,-9.167,Minor,0.0401,109.83,0.204,Rock
0.156,0.809,-1.0,0.575,1.65e-06,C,0.0799,-12.175999999999998,Major,0.0298,109.447,0.85,Rock
0.335,0.8,214920.0,0.5589999999999999,0.0,C,0.148,-7.11,Major,0.1159999999999999,121.967,0.7879999999999999,Rock
0.24,0.421,185000.0,0.946,0.00255,D,0.504,-5.101,Major,0.0767,169.71200000000002,0.848,Rock
0.135,0.789,290160.0,0.623,0.0019399999999999,B,0.0946,-9.11,Minor,0.0295,109.383,0.7170000000000001,Rock
0.143,0.479,220199.0,0.87,0.0,G,0.129,-5.739,Major,0.0442,170.047,0.537,Rock
0.0019199999999999,0.263,214040.0,0.784,0.0,G,0.15,-6.513999999999999,Major,0.054,114.671,0.385,Rock
0.352,0.542,247064.0,0.523,0.121,C,0.366,-6.848,Major,0.026,75.057,0.456,Rock
0.00694,0.684,273336.0,0.858,0.000167,C#,0.0828,-4.266,Major,0.0342,129.963,0.518,Rock
0.0922,0.375,261173.0,0.599,0.0,G,0.2,-12.022,Major,0.1989999999999999,126.822,0.62,Rock
0.0299,0.631,176880.0,0.715,0.0,C#,0.121,-6.082999999999999,Minor,0.0277,135.826,0.42,Rock
0.1939999999999999,0.843,218813.0,0.384,0.0,A#,0.2,-9.184,Major,0.0898,123.058,0.64,Rock
0.289,0.792,219920.0,0.85,0.0001199999999999,C,0.132,-3.621,Major,0.0329,129.906,0.965,Rock
0.000104,0.364,189200.0,0.912,0.0025,G,0.086,-2.968,Major,0.107,105.368,0.6659999999999999,Rock
0.31,0.6940000000000001,187067.0,0.578,0.0,E,0.179,-11.309,Major,0.0713,122.446,0.907,Rock
0.0491,0.667,506400.0,0.655,0.0008939999999999,D,0.0641,-9.339,Minor,0.0367,134.21200000000002,0.657,Rock
0.8270000000000001,0.376,430000.0,0.373,0.8320000000000001,G,0.15,-9.184,Minor,0.0305,116.074,0.111,Rock
0.0442,0.677,308067.0,0.649,0.0695,A#,0.104,-5.906000000000001,Major,0.0311,82.016,0.787,Rock
0.812,0.424,187242.0,0.1969999999999999,0.0114,D,0.1119999999999999,-12.380999999999998,Major,0.0302,99.626,0.094,Rock
0.0617,0.6459999999999999,190867.0,0.6579999999999999,0.0,G,0.0692,-4.678,Major,0.052,92.001,0.44,Rock
